Def 1,Def 2,Sentence,DocID,LineNumber
abridged prospectus,advertisement, The offer document or abridged prospectus or any advertisement issued by an issuer in connection with a public issue of non-convertible redeemable preference shares shall not contain any false or misleading statement.,1591598268981.htmlTxt,130
abridged prospectus,document, The offer document or abridged prospectus or any advertisement issued by an issuer in connection with a public issue of non-convertible redeemable preference shares shall not contain any false or misleading statement.,1591598268981.htmlTxt,130
abridged prospectus,form,"(III) The abridged prospectus shall be printed in a booklet form of A4 size paper and, along ",1591598038081.txt,21694
abridged prospectus,form,"(II) The abridged prospectus shall be printed in a booklet form of A4 size paper and, along ",1591598038081.txt,23214
abridged prospectus,public, The offer document or abridged prospectus or any advertisement issued by an issuer in connection with a public issue of non-convertible redeemable preference shares shall not contain any false or misleading statement.,1591598268981.htmlTxt,130
abridged prospectus,shares, The offer document or abridged prospectus or any advertisement issued by an issuer in connection with a public issue of non-convertible redeemable preference shares shall not contain any false or misleading statement.,1591598268981.htmlTxt,130
acquirer,acquisition,Provided that such acquirer shall not be entitled to acquire or enter into any agreement to acquire shares or voting rights exceeding such number of shares as would take the aggregate shareholding pursuant to the acquisition above the maximum permissible non-public shareholding.,1591594726590.htmlTxt,118
acquirer,acquisition," Irrespective of acquisition or holding of shares or voting rights in a target company, no acquirer shall acquire, directly or indirectly, control over such target company unless the acquirer makes a public announcement of an open offer for acquiring",1591594726590.htmlTxt,129
acquirer,acquisition," The open offer made under regulation 6 shall be for acquisition of at least such number of shares as would entitle the holder thereof to exercise an additional ten per cent of the 19[voting rights in] the target company, and shall not exceed such number of shares as would result in the post-acquisition holding of the acquirer and persons acting in concert with him exceeding the maximum permissible non- public shareholding applicable to such target company:",1591594726590.htmlTxt,190
acquirer,acquisition," the volume-weighted average price paid or payable for any acquisition, whether by the acquirer or by any person acting in concert with him, during the fifty-two weeks immediately preceding the earlier of, the date on which the primary acquisition is contracted, and the date on which the intention or the decision to make the primary acquisition is announced in the public domain;",1591594726590.htmlTxt,213
acquirer,acquisition," the highest price paid or payable for any acquisition, whether by the acquirer or by any person acting in concert with him, during the twenty-six weeks immediately preceding the earlier of, the date on which the primary acquisition is contracted, and the date on which the intention or the decision to make the primary acquisition is announced in the public domain;",1591594726590.htmlTxt,214
acquirer,acquisition," the highest price paid or payable for any acquisition, whether by the acquirer or by any person acting in concert with him, between the earlier of, the date on which the primary acquisition is contracted, and the date on which the intention or the decision to make the primary acquisition is announced in the public domain, and the date of the public announcement of the open offer for shares of the target company made under these regulations;",1591594726590.htmlTxt,215
acquirer,acquisition," Where the acquirer or persons acting in concert with him acquires shares of the target company during the period of twenty-six weeks after the tendering period at a price higher than the offer price under these regulations, the acquirer and persons acting in concert shall pay the difference between the highest acquisition price and the offer price, to all the shareholders whose shares were accepted in the open offer, within sixty days from the date of such acquisition:",1591594726590.htmlTxt,236
acquirer,acquisition," In respect of acquisitions under clause (a) of sub-regulation (1), and clauses (e) and (f) of sub-regulation (4), the acquirer shall intimate the stock exchanges where the shares of the target company are listed, the details of the proposed acquisition in such form as may be specified, at least four working days prior to the proposed acquisition, and the stock exchange shall forthwith disseminate such information to the public.",1591594726590.htmlTxt,401
acquirer,acquisition," In respect of any acquisition made pursuant to exemption provided for in this regulation, the acquirer shall file a report with the stock exchanges where the shares",1591594726590.htmlTxt,402
acquirer,acquisition," In respect of any acquisition of or increase in voting rights pursuant to exemption provided for in clause (a) of sub-regulation (1), sub-clause (iii) of clause (d) of sub- regulation (1), clause (h) of sub-regulation (1), sub-regulation (2), sub-regulation (3) and clause (c) of sub-regulation (4), clauses (a), (b) and (f) of sub-regulation (4), the acquirer shall, within twenty-one working days of the date of acquisition, submit a report in such form as may be specified along with supporting documents to the Board giving all details in respect of acquisitions, along with a non-refundable fee of rupees 49 [one lakh fifty thousand] 50 [by way of direct credit in the bank account through NEFT/RTGS/IMPS or any other mode allowed by RBI or] by way of a banker’s cheque or demand draft payable in Mumbai in favour of the Board.",1591594726590.htmlTxt,409
acquirer,acquisition," For seeking exemption under sub-regulation (1), the acquirer shall, and for seeking relaxation under sub-regulation (2) the target company shall file an application with the Board, supported by a duly sworn affidavit, giving details of the proposed acquisition and the grounds on which the exemption has been sought.",1591594726590.htmlTxt,424
acquirer,acquisition," The acquirer shall disclose during the offer period every acquisition made by the acquirer or persons acting in concert with him of any shares of the target company in such form as may be specified, to each of the stock exchanges on which the shares of the target company are listed and to the target company at its registered office within twenty-four hours of such acquisition, and the stock exchanges shall forthwith disseminate such information to the public:",1591594726590.htmlTxt,725
acquirer,acquisition," The acquirer shall issue an advertisement in such form as may be specified, one working day before the commencement of the tendering period, announcing the schedule of activities for the open offer, the status of statutory and other approvals, if any, whether for the acquisition attracting the obligation to make an open offer under these regulations or for the open offer, unfulfilled conditions, if any, and their status, the procedure for tendering acceptances and such other material detail as may be specified:",1591594726590.htmlTxt,730
acquirer,acquisition,"  The acquirer shall not complete the acquisition of shares or voting rights in, or control over, the target company, whether by way of subscription to shares or a purchase of shares attracting the obligation to make an open offer for acquiring shares, until the expiry of the offer period:",1591594726590.htmlTxt,777
acquirer,acquisition," 3[Provided further that in case of a delisting offer made under regulation 5A, the acquirer shall complete the acquisition of shares attracting the obligation to make an offer for acquiring shares in terms of regulations 3, 4 or 5, only after making the public announcement regarding the success of the",1591594726590.htmlTxt,779
acquirer,acquisition," Notwithstanding anything contained in sub-regulation (1), subject to the acquirer depositing in the escrow account under regulation 17, cash of an amount equal to 64 [the entire] consideration payable under the open offer assuming full acceptance of the open offer, the parties to such agreement may after the expiry of twenty-one working days from the date of detailed public statement, act upon the agreement and the acquirer may complete the acquisition of shares or voting",1591594726590.htmlTxt,783
acquirer,acquisition," 6[Provided that an acquirer shall not withdraw an open offer pursuant to a public announcement made under clause (g) of sub-regulation (2) of regulation 13, even if the proposed acquisition through the preferential issue is not successful.]",1591594726590.htmlTxt,801
acquirer,act," Notwithstanding anything contained in sub-regulation (1), subject to the acquirer depositing in the escrow account under regulation 17, cash of an amount equal to 64 [the entire] consideration payable under the open offer assuming full acceptance of the open offer, the parties to such agreement may after the expiry of twenty-one working days from the date of detailed public statement, act upon the agreement and the acquirer may complete the acquisition of shares or voting",1591594726590.htmlTxt,783
acquirer,advertisement," The acquirer shall issue an advertisement in such form as may be specified, one working day before the commencement of the tendering period, announcing the schedule of activities for the open offer, the status of statutory and other approvals, if any, whether for the acquisition attracting the obligation to make an open offer under these regulations or for the open offer, unfulfilled conditions, if any, and their status, the procedure for tendering acceptances and such other material detail as may be specified:",1591594726590.htmlTxt,730
acquirer,advertisement, (a) The acquirer shall issue a post offer advertisement in such form as may be,1591594726590.htmlTxt,742
acquirer,advertisement," The acquirer shall ensure that the contents of the public announcement, the detailed public statement, the letter of offer and the post-offer advertisement are true, fair and adequate in all material aspects and not misleading in any material particular, and are based on reliable sources, and state the source wherever necessary.",1591594726590.htmlTxt,832
acquirer,associate,"  Prior to making a public announcement, the acquirer shall appoint a merchant banker registered with the Board, who is not an associate of the acquirer, as the manager to the open offer.",1591594726590.htmlTxt,436
