,def,term
0,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); ",act
1,“authorised officer” means the investigating authority or any other officer of the board authorised by the chairman under sub-section (8) of section 11c of the act; ,authorised officer
2,"“building” includes any structure or any other thing constructed, erected, placed or made on, in or under any land and  the land  appurtenant there to . ",building
3,“day time” means the hours between 7.00 a.m. and 6.00 p.m. at the place where the search and seizure is undertaken. ,day time
4,"“document” means any record or  information, preserved in any,- handmade form such as writing, drawing, painting, with any implement on any surface, directly or indirectly;  photographic form such as microfilm, microfiche, prints, slides, negatives, 2 videotapes, motion pictures, photocopies or digital storage;  mechanical form such as writing, pressing, printing or typing; computerized, electrical, electronic, or magnetic form such as tape recordings, cassettes, compact discs or any information on an electronic or magnetic storage device, such as hard disks, portable memory cards, sticks or diskettes, or smart cards, backup tapes, personal digital devices, cd or dvd discs, optical discs, printer buffers, zip drives, pen drives, thump drives or electronic notebooks, as well as printouts or readouts from any magnetic storage device, including information preserved in files that have been “deleted” from electronic,magnetic,optical storage devices or facilities, and includes anything in which such information, is found or recoverable; ",document
5,"“enterprise” shall have the same meaning as assigned to it in clause of section 92f of the income-tax act, 1961(43 of 1961);    ",enterprise
6,"“personal information” means any information that relates to a natural person, whose identity is apparent or can reasonably be ascertained from the information;  ""schedule ""means the schedule appended to these regulations; ",personal information
7,"""securities laws"" means the act, the securities contracts act, 1956  (42 of 1956),  the depositories act, 1996(22 of 1996), provisions of the companies act, 1956 in force and the companies act,2013  that are administered by the securities and exchange board of india, and the rules and regulations made thereunder. (2) unless the context otherwise requires, the words and expressions used herein and not defined in these regulations but defined in the act or companies act, 1956 (1 of 1956)   in force and the companies act, 2013  or  the securities contracts act, 1956 (42 of 1956) or the depositories act, 1996 (22 of 1996) or the information technology act, 2000 (21 of 2000) or any rules or regulations made thereunder shall have the same meanings respectively assigned to them in those acts, rules or regulations made thereunder or any statutory modification or re-enactment thereto, as the case may be. ",securities laws
8,"a) “act” means the securities and exchange board of india act, 1992 [15 of 1992];  page 2 of 12 ",act
9,b) “administrator” means a person registered with the insolvency and bankruptcy board of india as an insolvency resolution professional and who has been engaged by the recovery officer for the purposes of these regulations. ,administrator
10,"c) “advertisement” includes - notices, brochures, pamphlets, circulars, show-cards, catalogues, hoardings, placards, posters, insertions in newspapers, pictures, films and documentaries; and any publicity through print medium, radio, television programmes or electronic media; ",advertisement
11,"d) “auditor” means a person qualified to audit the accounts of companies under the companies act, 2013; ",auditor
12,e) “board” means the securities and exchange board of india established under section 3 of the act; ,board
13,"f) ""certificate"" means the statement drawn up by the recovery officer under section 28a of the act or section 23jb of the securities contracts act, 1956 or section 19-ib of the depositories act, 1996 and shall not include a sale certificate;   g) ""defaulter"" for the purposes of these regulations, means a person who has failed to comply with an order of the board to refund monies to the investors or an order of the board for disgorgement within the specified time period and who is mentioned as a defaulter in the certificate;  ",certificate
14,h) “e-auction” means the public auction conducted through electronic mode; ,e-auction
15,i) “e-auction agency” means a company providing an e-auction platform which is engaged by the administrator for the purposes of auctioning and selling properties attached by the recovery officer; ,e-auction agency
16,"j) “investor” means the person, whether identified or not, in whose favour the refund of monies had been directed by the board;  ",investor
17,"k) ""property"" means and includes assets of any kind, whether movable or immovable, tangible or intangible, corporeal or incorporeal and includes securities, bank accounts, deposits, any right or interest or legal documents or instruments evidencing title to or interest in the property and where the property is capable of conversion into some other form, then the property in the converted form and also includes the proceeds from the property. javascript:showmaincontent('act',%20'cmsid',%20'102120000000037286',%20'');page 3 of 12 ",property
18,"m) “recovery officer” means an officer of the board, who is authorised by a general or special order in writing, to exercise the powers of a recovery officer under section 28a of the act or section 23jb of the securities contracts act, 1956 or section 19-ib of the depositories act, 1996; ",recovery officer
19,"n) “refund order” means a direction of the board, issued under the act or the securities contracts act, 1956 or the depositories act, 1996, to refund monies to the investors; ",refund order
20,"o) “recovery proceedings” means the proceedings for recovery of dues initiated by a recovery officer under section 28a of the act or section 23jb of the securities contracts act, 1956 or section 19-ib of the depositories act, 1996; ",recovery proceedings
21,"p) “registered valuer” shall have the meaning assigned to it under the companies (registered valuers and valuation) rules, 2017 or any other statutory modification thereof; (2) words  and  expressions  used  and  not  defined  in  this  regulations  but  defined  in the act, the securities contracts act, 1956, the depositories act, 1996, the second schedule to the income-tax act, 1961 and the income-tax (certificate proceeding), rules, 1962,  shall  have  the meanings respectively assigned to them in that act and rules respectively.   applicability.  3. (1) these regulations shall be applicable for all or any of the following: a. appointment of administrator pursuant to failure to comply with disgorgement or refund orders passed by the board; b. sale of properties attached by the recovery officer of the board under the act; c. collection of claim documents and verification of claims of investors for the purpose of effecting refunds; d. refund of monies to the investors pursuant to disgorgement or refund orders passed by the board; e. recovery of disgorgement amounts directed by the board; f. any act incidental or connected thereto. (2) unless otherwise specifically ordered, these regulations shall not be applicable to cases where the securities appellate tribunal or a court has appointed an administrator or any other person for the purposes of recovery and/or repayment to investors.  page 4 of 12 (3) the provisions of these regulations shall apply mutatis mutandis in respect of the proceedings under the securities contracts act, 1956 or the depositories act, 1996.  ",registered valuer
22,"""act"" means the securities and exchange board of india act, 1992 (15 of 1992); ",act
23,“alleged default” means an alleged or probable contravention of any provision of the securities laws; ,alleged default
24,"""board"" means the securities and exchange board of india established under the provisions of section 3 of the act; ",board
25,"""panel of whole time members"" means the panel consisting of two or more whole time members of the board;   ",panel of whole time members
26,"""securities laws"" means the act, the securities contract act, 1956 (42 of 1956), the depositories act,1996 (22 of 1996), the relevant provisions of any other law to the extent it is administered by the board and the relevant rules and regulations made thereunder; ",securities laws
27,"""specified proceedings"" means the proceedings that may be initiated by the board or have been initiated and are pending before the board or any other forum, for the violation of securities laws, under section 11, section 11b, section 11d, sub-section (3) of section 12 or section 15-i of the act or section 12a or section 23-i of the securities contracts act, 1956 or section 19 or section 19h of the depositories act, 1996, as the case may be; ",specified proceedings
28,"""tribunal"" means the securities appellate tribunal established under section 15k of the securities and exchange board of india act, 1992.  (2) words and expressions used but not defined in these regulations but defined in the act, the securities contracts act, 1956 the depositories act, 1996 the companies act, 2013 or any of the rules or regulations made thereunder, shall have the same meanings respectively assigned to them in those acts, rules or regulations or any statutory modification or re-enactment thereto.   3 ",tribunal
29,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); ",act
30,“board” means the securities and exchange board of india; ,board
